date,title_neg,title_neu,title_pos,title_compound,content_neg,content_neu,content_pos,content_compound,comments_neg,comments_neu,comments_pos,comments_compound
2021-12-08,0.0,1.0,0.0,0.0,0.033,0.873,0.094,0.9773,0.0,0.0,0.0,0.0
2021-12-09,0.151,0.849,0.0,-0.1531,0.03,0.879,0.091,0.9658,0.0,0.0,0.0,0.0
2021-12-10,0.316,0.684,0.0,-0.4019,0.05,0.848,0.103,0.9817,0.0,0.0,0.0,0.0
2021-12-11,0.21066666666666667,0.6573333333333333,0.132,-0.03140000000000004,0.050333333333333334,0.846,0.10433333333333333,0.9787,0.0,0.0,0.0,0.0
2021-12-12,0.1053333333333333,0.6306666666666667,0.264,0.3390999999999999,0.050666666666666665,0.844,0.10566666666666666,0.9757,0.0,0.0,0.0,0.0
2021-12-13,0.0,0.604,0.396,0.7096,0.051,0.842,0.107,0.9727,0.0,0.0,0.0,0.0
2021-12-14,0.0,1.0,0.0,0.0,0.043,0.839,0.117,0.9805,0.0,0.0,0.0,0.0
2021-12-15,0.0,1.0,0.0,0.0,0.044,0.8965000000000001,0.0595,0.46965,0.042,0.365,0.0925,0.21075
2021-12-16,0.0,0.604,0.396,0.7096,0.05,0.823,0.127,0.9803,0.0,0.0,0.0,0.0
2021-12-17,0.0,1.0,0.0,0.0,0.031,0.852,0.117,0.9832,0.0,0.0,0.0,0.0
2021-12-18,0.050333333333333334,0.9496666666666667,0.0,-0.05103333333333334,0.04666666666666667,0.851,0.10233333333333333,0.9246,0.030666666666666665,0.23933333333333334,0.06333333333333334,0.3104
2021-12-19,0.10066666666666667,0.8993333333333333,0.0,-0.10206666666666668,0.06233333333333334,0.85,0.08766666666666667,0.866,0.06133333333333333,0.4786666666666667,0.12666666666666668,0.6208
2021-12-20,0.151,0.849,0.0,-0.1531,0.078,0.849,0.073,0.8074,0.092,0.718,0.19,0.9312
2021-12-21,0.0,1.0,0.0,0.0,0.017,0.961,0.022,-0.0258,0.0,0.0,0.0,0.0
2021-12-22,0.126,0.464,0.411,0.6486,0.045,0.849,0.107,0.9845,0.0,0.0,0.0,0.0
2021-12-23,0.0,1.0,0.0,0.0,0.041,0.845,0.114,0.971,0.0,0.0,0.0,0.0
2021-12-24,0.0,1.0,0.0,0.0,0.0395,0.8412499999999999,0.11925000000000001,0.9753499999999999,0.0,0.0,0.0,0.0
2021-12-25,0.0,1.0,0.0,0.0,0.038000000000000006,0.8374999999999999,0.1245,0.9797,0.0,0.0,0.0,0.0
2021-12-26,0.0,1.0,0.0,0.0,0.036500000000000005,0.83375,0.12975,0.98405,0.0,0.0,0.0,0.0
2021-12-27,0.0,1.0,0.0,0.0,0.035,0.83,0.135,0.9884,0.0,0.0,0.0,0.0
2021-12-28,0.0,1.0,0.0,0.0,0.066,0.842,0.092,0.9445,0.0,0.0,0.0,0.0
2021-12-29,0.0,1.0,0.0,0.0,0.042,0.838,0.12,0.9707,0.0,0.0,0.0,0.0
2021-12-30,0.0,1.0,0.0,0.0,0.0524,0.8331999999999999,0.1144,0.92276,0.0,0.0,0.0,0.0
2021-12-31,0.0,1.0,0.0,0.0,0.0628,0.8283999999999999,0.1088,0.87482,0.0,0.0,0.0,0.0
2022-01-01,0.0,1.0,0.0,0.0,0.0732,0.8236,0.1032,0.82688,0.0,0.0,0.0,0.0
2022-01-02,0.0,1.0,0.0,0.0,0.08360000000000001,0.8188,0.09759999999999999,0.77894,0.0,0.0,0.0,0.0
2022-01-03,0.0,1.0,0.0,0.0,0.094,0.814,0.092,0.731,0.0,0.0,0.0,0.0
2022-01-04,0.1805,0.8195,0.0,-0.24655000000000002,0.064,0.8500000000000001,0.08549999999999999,0.90005,0.0595,0.7715000000000001,0.16899999999999998,0.0673
2022-01-05,0.296,0.704,0.0,-0.4939,0.05,0.859,0.091,0.9638,0.209,0.791,0.0,-0.8689
2022-01-06,0.118,0.882,0.0,-0.1531,0.045,0.846,0.109,0.9694,0.0,0.0,0.0,0.0
2022-01-07,0.123,0.877,0.0,-0.1531,0.04775,0.84875,0.10375,0.9643750000000001,0.0395,0.2105,0.0,-0.194575
2022-01-08,0.128,0.872,0.0,-0.1531,0.0505,0.8515,0.0985,0.95935,0.079,0.421,0.0,-0.38915
2022-01-09,0.133,0.867,0.0,-0.1531,0.05325,0.85425,0.09325,0.9543250000000001,0.1185,0.6315,0.0,-0.5837249999999999
2022-01-10,0.138,0.862,0.0,-0.1531,0.056,0.857,0.088,0.9493,0.158,0.842,0.0,-0.7783
2022-01-11,0.1288,0.8712,0.0,-0.14289333333333334,0.05446666666666667,0.861,0.08546666666666666,0.9128066666666667,0.14746666666666666,0.8125333333333333,0.04,-0.71788
2022-01-12,0.11960000000000001,0.8804,0.0,-0.13268666666666667,0.05293333333333333,0.865,0.08293333333333333,0.8763133333333334,0.13693333333333332,0.7830666666666667,0.08,-0.65746
2022-01-13,0.11040000000000001,0.8896,0.0,-0.12248,0.0514,0.869,0.0804,0.83982,0.1264,0.7535999999999999,0.12,-0.59704
2022-01-14,0.10120000000000001,0.8988,0.0,-0.11227333333333334,0.04986666666666667,0.873,0.07786666666666667,0.8033266666666667,0.11586666666666667,0.7241333333333333,0.16,-0.53662
2022-01-15,0.092,0.908,0.0,-0.10206666666666667,0.04833333333333333,0.877,0.07533333333333334,0.7668333333333334,0.10533333333333333,0.6946666666666667,0.19999999999999998,-0.4762
2022-01-16,0.08280000000000001,0.9172,0.0,-0.09186000000000001,0.0468,0.881,0.0728,0.73034,0.09480000000000001,0.6652,0.24,-0.41578000000000004
2022-01-17,0.0736,0.9264,0.0,-0.08165333333333334,0.04526666666666667,0.885,0.07026666666666667,0.6938466666666667,0.08426666666666667,0.6357333333333334,0.27999999999999997,-0.35536
2022-01-18,0.0644,0.9356,0.0,-0.07144666666666667,0.04373333333333333,0.889,0.06773333333333333,0.6573533333333333,0.07373333333333333,0.6062666666666667,0.32,-0.29494000000000004
2022-01-19,0.0552,0.9448,0.0,-0.06124,0.0422,0.893,0.0652,0.62086,0.0632,0.5768,0.36,-0.23452000000000006
2022-01-20,0.046,0.954,0.0,-0.05103333333333333,0.04066666666666667,0.897,0.06266666666666666,0.5843666666666667,0.05266666666666667,0.5473333333333333,0.39999999999999997,-0.17410000000000003
2022-01-21,0.0368,0.9632000000000001,0.0,-0.04082666666666668,0.03913333333333334,0.901,0.06013333333333333,0.5478733333333333,0.04213333333333334,0.5178666666666667,0.43999999999999995,-0.11368
